audio_file,Label
0981437868.wav,Canonical
0296516466.wav,Canonical
0339987767.wav,Canonical
0308366798.wav,Canonical
0472724755.wav,Canonical
0478657924.wav,Canonical
0137866789.wav,Canonical
0286716230.wav,Canonical
0658038291.wav,Canonical
0553521156.wav,Canonical
0792606641.wav,Canonical
0615771549.wav,Canonical
0355996886.wav,Canonical
0688467990.wav,Canonical
0947130810.wav,Canonical
0751390819.wav,Canonical
0560491073.wav,Canonical
0801977488.wav,Canonical
0593355691.wav,Canonical
0235966206.wav,Canonical
0943146985.wav,Canonical
0967852375.wav,Canonical
0275924033.wav,Canonical
0235438234.wav,Canonical
0271122870.wav,Canonical
0196069522.wav,Canonical
0535323415.wav,Canonical
0225249972.wav,Canonical
0577347054.wav,Canonical
0192457477.wav,Canonical
0879671987.wav,Canonical
0626184045.wav,Canonical
0759581282.wav,Canonical
0424105118.wav,Canonical
0152209755.wav,Canonical
0226215522.wav,Canonical
0620044137.wav,Canonical
0336705063.wav,Canonical
0655040153.wav,Canonical
0833273707.wav,Canonical
0152612986.wav,Canonical
0674441708.wav,Canonical
0324593973.wav,Canonical
0729333927.wav,Canonical
0492146757.wav,Canonical
0289867149.wav,Canonical
0764804306.wav,Canonical
0820560695.wav,Canonical
0511692777.wav,Canonical
0716188801.wav,Canonical
0776945884.wav,Canonical
0685312803.wav,Canonical
0953708583.wav,Canonical
0374428228.wav,Canonical
0955079333.wav,Canonical
0109641866.wav,Canonical
0398763028.wav,Canonical
0192987437.wav,Canonical
0854436578.wav,Canonical
0206746252.wav,Canonical
0781277085.wav,Canonical
0344577860.wav,Canonical
0983608130.wav,Canonical
0898270069.wav,Canonical
0872685122.wav,Canonical
0107801103.wav,Canonical
0273054455.wav,Canonical
0784919274.wav,Canonical
0681480708.wav,Canonical
0261227894.wav,Canonical
0817502966.wav,Canonical
0108402535.wav,Canonical
0298439245.wav,Canonical
0273888151.wav,Canonical
0418231822.wav,Canonical
0294014054.wav,Canonical
0321212022.wav,Canonical
0179733869.wav,Canonical
0934157885.wav,Canonical
0174919220.wav,Canonical
0238758184.wav,Canonical
0672587953.wav,Canonical
0507641581.wav,Canonical
0297568031.wav,Canonical
0625926326.wav,Canonical
0921403225.wav,Canonical
0381772321.wav,Canonical
0678524655.wav,Canonical
0727985068.wav,Canonical
0797085239.wav,Canonical
0734294589.wav,Canonical
0422454241.wav,Canonical
0700917795.wav,Canonical
0175218185.wav,Canonical
0647695269.wav,Canonical
0383999060.wav,Canonical
0313327594.wav,Canonical
0529877418.wav,Canonical
0630958845.wav,Canonical
0471961085.wav,Canonical
0144475724.wav,Canonical
0558064383.wav,Canonical
0654733966.wav,Canonical
0381255914.wav,Canonical
0207896877.wav,Canonical
0795656131.wav,Canonical
0710297086.wav,Canonical
0713471500.wav,Canonical
0578706694.wav,Canonical
0485289040.wav,Canonical
0780444499.wav,Canonical
0720939488.wav,Canonical
0668554618.wav,Canonical
0317987672.wav,Canonical
0128961474.wav,Canonical
0763916246.wav,Canonical
0397463453.wav,Canonical
0125539330.wav,Canonical
0834364261.wav,Canonical
0810230807.wav,Canonical
0821012177.wav,Canonical
0379237725.wav,Canonical
0170573205.wav,Canonical
0833466625.wav,Canonical
0940686325.wav,Canonical
0708900769.wav,Canonical
0668097867.wav,Canonical
0686285286.wav,Canonical
0181866046.wav,Canonical
0965627551.wav,Canonical
0694178830.wav,Canonical
0369303554.wav,Canonical
0854645203.wav,Canonical
0965888736.wav,Canonical
0346799588.wav,Canonical
0233925480.wav,Canonical
0541293733.wav,Canonical
0138430205.wav,Canonical
0837694759.wav,Canonical
0561928593.wav,Canonical
0135906953.wav,Canonical
0978426606.wav,Canonical
0914106667.wav,Canonical
0967480112.wav,Canonical
0248139831.wav,Canonical
0718677489.wav,Canonical
0574540375.wav,Canonical
0120229842.wav,Canonical
0102146898.wav,Canonical
0835865205.wav,Canonical
0990895526.wav,Canonical
0700783429.wav,Canonical
0131384781.wav,Canonical
0468696722.wav,Canonical
0734429280.wav,Canonical
0683034864.wav,Canonical
0773824036.wav,Canonical
0774489660.wav,Canonical
0487802744.wav,Canonical
0816286736.wav,Canonical
0505464806.wav,Canonical
0319511183.wav,Canonical
0601625849.wav,Canonical
0270814359.wav,Canonical
0697036470.wav,Canonical
0479012117.wav,Canonical
0829263506.wav,Canonical
0706101815.wav,Canonical
0839695423.wav,Canonical
0431667623.wav,Canonical
0162799428.wav,Canonical
0545503745.wav,Canonical
0630701159.wav,Canonical
0109028424.wav,Canonical
0684927236.wav,Canonical
0602972402.wav,Canonical
0882770660.wav,Canonical
0968733630.wav,Canonical
0507689087.wav,Canonical
0176645420.wav,Canonical
0443832046.wav,Canonical
0372440867.wav,Canonical
0304296571.wav,Canonical
0560051367.wav,Canonical
0121969583.wav,Canonical
0723068294.wav,Canonical
0157607881.wav,Canonical
0194739219.wav,Canonical
0752099096.wav,Canonical
0877870600.wav,Canonical
0181080083.wav,Canonical
0732876433.wav,Canonical
0929745004.wav,Canonical
0336380857.wav,Canonical
0543681858.wav,Canonical
0237612976.wav,Canonical
0172023444.wav,Canonical
0848385887.wav,Canonical
0907211805.wav,Canonical
0734560333.wav,Canonical
0228527917.wav,Canonical
0694751495.wav,Canonical
0287133434.wav,Canonical
0711254923.wav,Canonical
0752625871.wav,Canonical
0814986045.wav,Canonical
0730605485.wav,Canonical
0729522233.wav,Canonical
0865597624.wav,Canonical
0395954734.wav,Canonical
0158396968.wav,Canonical
0713225213.wav,Canonical
0948837294.wav,Canonical
0913646399.wav,Canonical
0933108346.wav,Canonical
0580110617.wav,Canonical
0614995393.wav,Canonical
0778364155.wav,Canonical
0878371252.wav,Canonical
0688049058.wav,Canonical
0647870592.wav,Canonical
0446179812.wav,Canonical
0353457230.wav,Canonical
0438472231.wav,Canonical
0560871362.wav,Canonical
0652783357.wav,Canonical
0569946177.wav,Canonical
0708693515.wav,Canonical
0395268314.wav,Canonical
0146864625.wav,Canonical
0872407225.wav,Canonical
0143282740.wav,Canonical
0196086279.wav,Canonical
0382173213.wav,Canonical
0557306340.wav,Canonical
0647480884.wav,Canonical
0895222842.wav,Canonical
0344255482.wav,Canonical
0371350304.wav,Canonical
0342825870.wav,Canonical
0123414696.wav,Canonical
0241194192.wav,Canonical
0759559363.wav,Canonical
0478348229.wav,Canonical
0212155077.wav,Canonical
0489369997.wav,Canonical
0305286184.wav,Canonical
0279738261.wav,Canonical
0278210215.wav,Canonical
0889566331.wav,Canonical
0277006838.wav,Canonical
0168733591.wav,Canonical
0682666551.wav,Canonical
0817939780.wav,Canonical
0567403054.wav,Canonical
0310968076.wav,Canonical
0769004774.wav,Canonical
0459839824.wav,Canonical
0288308967.wav,Canonical
0123878157.wav,Canonical
0715022846.wav,Canonical
0628679422.wav,Canonical
0270518175.wav,Canonical
0818815199.wav,Canonical
0708457069.wav,Canonical
0424581901.wav,Canonical
0783870420.wav,Canonical
0668878882.wav,Canonical
0959939616.wav,Canonical
0992484308.wav,Canonical
0289010461.wav,Canonical
0886006304.wav,Canonical
0891725839.wav,Canonical
0376647569.wav,Canonical
0904998727.wav,Canonical
0223008487.wav,Canonical
0185178183.wav,Canonical
0181425323.wav,Canonical
0345226274.wav,Canonical
0624530645.wav,Canonical
0760940311.wav,Canonical
0518435508.wav,Canonical
0409335712.wav,Canonical
0768828609.wav,Canonical
0229721753.wav,Canonical
0899904973.wav,Canonical
0150736352.wav,Canonical
0967414236.wav,Canonical
0896523462.wav,Canonical
0653867700.wav,Canonical
0348875119.wav,Canonical
0745578099.wav,Canonical
0784989620.wav,Canonical
0716613105.wav,Canonical
0925739298.wav,Canonical
0542998104.wav,Canonical
0902984448.wav,Canonical
0477216895.wav,Canonical
0168317842.wav,Canonical
0860220230.wav,Canonical
0893251743.wav,Canonical
0178180160.wav,Canonical
0137027681.wav,Canonical
0717467064.wav,Canonical
0483008442.wav,Canonical
0936959178.wav,Canonical
0187094696.wav,Canonical
0138168982.wav,Canonical
0463567079.wav,Canonical
0725013667.wav,Canonical
0756536285.wav,Canonical
0897501325.wav,Canonical
0794695196.wav,Canonical
0563678613.wav,Canonical
0365331051.wav,Canonical
0318880072.wav,Canonical
0531816351.wav,Canonical
0407955937.wav,Canonical
0163914468.wav,Canonical
0428435118.wav,Canonical
0851598403.wav,Canonical
0846006586.wav,Canonical
0311779490.wav,Canonical
0312240132.wav,Canonical
0238087092.wav,Canonical
0695811718.wav,Canonical
0124487931.wav,Canonical
0552359097.wav,Canonical
0252590118.wav,Canonical
0242346797.wav,Canonical
0950338927.wav,Canonical
0730077696.wav,Canonical
0514996174.wav,Canonical
0298699362.wav,Canonical
0729703225.wav,Canonical
0556665136.wav,Canonical
0203460134.wav,Canonical
0170333924.wav,Canonical
0620627966.wav,Canonical
0979806851.wav,Canonical
0106041043.wav,Canonical
0745731066.wav,Canonical
0675936203.wav,Canonical
0881477333.wav,Canonical
0658631121.wav,Canonical
0391611867.wav,Canonical
0200538542.wav,Canonical
0219634236.wav,Canonical
0762802551.wav,Canonical
0197166640.wav,Canonical
0275288121.wav,Canonical
0834352619.wav,Canonical
