audio_file,Label
0981437868.wav,0
0296516466.wav,0
0339987767.wav,0
0308366798.wav,0
0472724755.wav,0
0478657924.wav,0
0137866789.wav,0
0286716230.wav,0
0658038291.wav,0
0553521156.wav,0
0792606641.wav,0
0615771549.wav,0
0355996886.wav,0
0688467990.wav,0
0947130810.wav,0
0751390819.wav,0
0560491073.wav,0
0801977488.wav,0
0593355691.wav,0
0235966206.wav,0
0943146985.wav,0
0967852375.wav,0
0275924033.wav,0
0235438234.wav,0
0271122870.wav,0
0196069522.wav,0
0535323415.wav,0
0225249972.wav,0
0577347054.wav,0
0192457477.wav,0
0879671987.wav,0
0626184045.wav,0
0759581282.wav,0
0424105118.wav,0
0152209755.wav,0
0226215522.wav,0
0620044137.wav,0
0336705063.wav,0
0655040153.wav,0
0833273707.wav,0
0152612986.wav,0
0674441708.wav,0
0324593973.wav,0
0729333927.wav,0
0492146757.wav,0
0289867149.wav,0
0764804306.wav,0
0820560695.wav,0
0511692777.wav,0
0716188801.wav,0
0776945884.wav,0
0685312803.wav,0
0953708583.wav,0
0374428228.wav,0
0955079333.wav,0
0109641866.wav,0
0398763028.wav,0
0192987437.wav,0
0854436578.wav,0
0206746252.wav,0
0781277085.wav,0
0344577860.wav,0
0983608130.wav,0
0898270069.wav,0
0872685122.wav,0
0107801103.wav,0
0273054455.wav,0
0784919274.wav,0
0681480708.wav,0
0261227894.wav,0
0817502966.wav,0
0108402535.wav,0
0298439245.wav,0
0273888151.wav,0
0418231822.wav,0
0294014054.wav,0
0321212022.wav,0
0179733869.wav,0
0934157885.wav,0
0174919220.wav,0
0238758184.wav,0
0672587953.wav,0
0507641581.wav,0
0297568031.wav,0
0625926326.wav,0
0921403225.wav,0
0381772321.wav,0
0678524655.wav,0
0727985068.wav,0
0797085239.wav,0
0734294589.wav,0
0422454241.wav,0
0700917795.wav,0
0175218185.wav,0
0647695269.wav,0
0383999060.wav,0
0313327594.wav,0
0529877418.wav,0
0630958845.wav,0
0471961085.wav,0
0144475724.wav,0
0558064383.wav,0
0654733966.wav,0
0381255914.wav,0
0207896877.wav,0
0795656131.wav,0
0710297086.wav,0
0713471500.wav,0
0578706694.wav,0
0485289040.wav,0
0780444499.wav,0
0720939488.wav,0
0668554618.wav,0
0317987672.wav,0
0128961474.wav,0
0763916246.wav,0
0397463453.wav,0
0125539330.wav,0
0834364261.wav,0
0810230807.wav,0
0821012177.wav,0
0379237725.wav,0
0170573205.wav,0
0833466625.wav,0
0940686325.wav,0
0708900769.wav,0
0668097867.wav,0
0686285286.wav,0
0181866046.wav,0
0965627551.wav,0
0694178830.wav,0
0369303554.wav,0
0854645203.wav,0
0965888736.wav,0
0346799588.wav,0
0233925480.wav,0
0541293733.wav,0
0138430205.wav,0
0837694759.wav,0
0561928593.wav,0
0135906953.wav,0
0978426606.wav,0
0914106667.wav,0
0967480112.wav,0
0248139831.wav,0
0718677489.wav,0
0574540375.wav,0
0120229842.wav,0
0102146898.wav,0
0835865205.wav,0
0990895526.wav,0
0700783429.wav,0
0131384781.wav,0
0468696722.wav,0
0734429280.wav,0
0683034864.wav,0
0773824036.wav,0
0774489660.wav,0
0487802744.wav,0
0816286736.wav,0
0505464806.wav,0
0319511183.wav,0
0601625849.wav,0
0270814359.wav,0
0697036470.wav,0
0479012117.wav,0
0829263506.wav,0
0706101815.wav,0
0839695423.wav,0
0431667623.wav,0
0162799428.wav,0
0545503745.wav,0
0630701159.wav,0
0109028424.wav,0
0684927236.wav,0
0602972402.wav,0
0882770660.wav,0
0968733630.wav,0
0507689087.wav,0
0176645420.wav,0
0443832046.wav,0
0372440867.wav,0
0304296571.wav,0
0560051367.wav,0
0121969583.wav,0
0723068294.wav,0
0157607881.wav,0
0194739219.wav,0
0752099096.wav,0
0877870600.wav,0
0181080083.wav,0
0732876433.wav,0
0929745004.wav,0
0336380857.wav,0
0543681858.wav,0
0237612976.wav,0
0172023444.wav,0
0848385887.wav,0
0907211805.wav,0
0734560333.wav,0
0228527917.wav,0
0694751495.wav,0
0287133434.wav,0
0711254923.wav,0
0752625871.wav,0
0814986045.wav,0
0730605485.wav,0
0729522233.wav,0
0865597624.wav,0
0395954734.wav,0
0158396968.wav,0
0713225213.wav,0
0948837294.wav,0
0913646399.wav,0
0933108346.wav,0
0580110617.wav,0
0614995393.wav,0
0778364155.wav,0
0878371252.wav,0
0688049058.wav,0
0647870592.wav,0
0446179812.wav,0
0353457230.wav,0
0438472231.wav,0
0560871362.wav,0
0652783357.wav,0
0569946177.wav,0
0708693515.wav,0
0395268314.wav,0
0146864625.wav,0
0872407225.wav,0
0143282740.wav,0
0196086279.wav,0
0382173213.wav,0
0557306340.wav,0
0647480884.wav,0
0895222842.wav,0
0344255482.wav,0
0371350304.wav,0
0342825870.wav,0
0123414696.wav,0
0241194192.wav,0
0759559363.wav,0
0478348229.wav,0
0212155077.wav,0
0489369997.wav,0
0305286184.wav,0
0279738261.wav,0
0278210215.wav,0
0889566331.wav,0
0277006838.wav,0
0168733591.wav,0
0682666551.wav,0
0817939780.wav,0
0567403054.wav,0
0310968076.wav,0
0769004774.wav,0
0459839824.wav,0
0288308967.wav,0
0123878157.wav,0
0715022846.wav,0
0628679422.wav,0
0270518175.wav,0
0818815199.wav,0
0708457069.wav,0
0424581901.wav,0
0783870420.wav,0
0668878882.wav,0
0959939616.wav,0
0992484308.wav,0
0289010461.wav,0
0886006304.wav,0
0891725839.wav,0
0376647569.wav,0
0904998727.wav,0
0223008487.wav,0
0185178183.wav,0
0181425323.wav,0
0345226274.wav,0
0624530645.wav,0
0760940311.wav,0
0518435508.wav,0
0409335712.wav,0
0768828609.wav,0
0229721753.wav,0
0899904973.wav,0
0150736352.wav,0
0967414236.wav,0
0896523462.wav,0
0653867700.wav,0
0348875119.wav,0
0745578099.wav,0
0784989620.wav,0
0716613105.wav,0
0925739298.wav,0
0542998104.wav,0
0902984448.wav,0
0477216895.wav,0
0168317842.wav,0
0860220230.wav,0
0893251743.wav,0
0178180160.wav,0
0137027681.wav,0
0717467064.wav,0
0483008442.wav,0
0936959178.wav,0
0187094696.wav,0
0138168982.wav,0
0463567079.wav,0
0725013667.wav,0
0756536285.wav,0
0897501325.wav,0
0794695196.wav,0
0563678613.wav,0
0365331051.wav,0
0318880072.wav,0
0531816351.wav,0
0407955937.wav,0
0163914468.wav,0
0428435118.wav,0
0851598403.wav,0
0846006586.wav,0
0311779490.wav,0
0312240132.wav,0
0238087092.wav,0
0695811718.wav,0
0124487931.wav,0
0552359097.wav,0
0252590118.wav,0
0242346797.wav,0
0950338927.wav,0
0730077696.wav,0
0514996174.wav,0
0298699362.wav,0
0729703225.wav,0
0556665136.wav,0
0203460134.wav,0
0170333924.wav,0
0620627966.wav,0
0979806851.wav,0
0106041043.wav,0
0745731066.wav,0
0675936203.wav,0
0881477333.wav,0
0658631121.wav,0
0391611867.wav,0
0200538542.wav,0
0219634236.wav,0
0762802551.wav,0
0197166640.wav,0
0275288121.wav,0
0834352619.wav,0
0576058243.wav,0
0629410225.wav,0
0366265033.wav,0
0533059670.wav,0
0759475482.wav,0
0506136975.wav,0
0774642257.wav,0
0448631670.wav,0
0784808413.wav,0
0781740736.wav,0
0984839546.wav,0
0993085029.wav,0
0270610496.wav,0
0959292488.wav,0
0108191583.wav,0
0927260517.wav,0
0380720478.wav,0
0940996131.wav,0
0470279363.wav,0
0983469592.wav,0
0318153530.wav,0
0305735561.wav,0
0172255742.wav,0
0343352306.wav,0
0337141960.wav,0
0336497861.wav,0
0288224454.wav,0
0631735755.wav,0
0276403749.wav,0
0196965552.wav,0
0104417613.wav,0
0914888206.wav,0
0716301346.wav,0
0881155942.wav,0
0374295855.wav,0
0141806994.wav,0
0895864550.wav,0
0994331384.wav,0
0192132711.wav,0
0309127178.wav,0
0298154081.wav,0
0535784598.wav,0
0420329238.wav,0
0475236144.wav,0
0315729720.wav,0
0307835803.wav,0
0987911438.wav,0
0437093954.wav,0
0115230434.wav,0
0284790410.wav,0
0321789933.wav,0
0305873690.wav,0
0411596085.wav,0
0619895377.wav,0
0554488903.wav,0
0125833292.wav,0
0608045821.wav,0
0546756029.wav,0
0954348323.wav,0
0102385407.wav,0
0768417411.wav,0
0131495000.wav,0
0308089707.wav,0
0272840321.wav,0
0256793155.wav,0
0631784007.wav,0
0210957094.wav,0
0326129009.wav,0
0158626659.wav,0
0622223732.wav,0
0287888777.wav,0
0913417272.wav,0
0754159214.wav,0
0264619486.wav,0
0470239115.wav,0
0782711224.wav,0
0507244913.wav,0
0146209683.wav,0
0786517741.wav,0
0859947748.wav,0
0113671286.wav,0
0341601343.wav,0
0433758160.wav,0
0395489938.wav,0
0433494619.wav,0
0888664665.wav,0
0305290582.wav,0
0472556966.wav,0
0779546134.wav,0
0251448365.wav,0
0896109565.wav,0
0601487817.wav,0
0435459241.wav,0
0150468848.wav,0
0809867653.wav,0
0352910169.wav,0
0776758525.wav,0
0865524293.wav,0
0640233910.wav,0
0864400743.wav,0
0202749358.wav,0
0690914485.wav,0
0211163894.wav,0
0250997636.wav,0
0949825968.wav,0
0239229428.wav,0
0632312709.wav,0
0431702474.wav,0
0724261195.wav,0
0469506580.wav,0
0687551580.wav,0
0959580338.wav,0
0172265631.wav,0
0829004922.wav,0
0488205411.wav,0
0200441655.wav,0
0854195712.wav,0
0386438240.wav,0
0339514857.wav,0
0327683956.wav,0
0632245517.wav,0
0722912799.wav,0
0891455831.wav,0
0940782632.wav,0
0652922012.wav,0
0488891055.wav,0
0782959181.wav,0
0666570015.wav,0
0931952630.wav,0
0116016276.wav,0
0577098539.wav,0
0910399205.wav,0
0875517454.wav,0
0329283949.wav,0
0430084024.wav,0
0456130945.wav,0
0233401748.wav,0
0326737185.wav,0
0827161962.wav,0
0847810196.wav,0
0212405434.wav,0
0228677278.wav,0
0167393492.wav,0
0763671372.wav,0
0596457200.wav,0
0955812850.wav,0
0498852951.wav,0
0273860867.wav,0
0782791125.wav,0
0551524449.wav,0
0908732142.wav,0
0134038166.wav,0
0931217968.wav,0
0888229276.wav,0
0534687845.wav,0
0335370510.wav,0
0805535333.wav,0
0344438954.wav,0
0865526845.wav,0
0940666787.wav,0
0862022528.wav,0
0154912856.wav,0
0470738226.wav,0
0930705527.wav,0
0155605962.wav,0
0403156359.wav,0
0308402025.wav,0
0645582278.wav,0
0175689608.wav,0
0583776919.wav,0
0244462684.wav,0
0800317383.wav,0
0583805852.wav,0
0882021758.wav,0
0474325635.wav,0
0494775847.wav,0
0578046720.wav,0
0914710969.wav,0
0444409144.wav,0
0845963140.wav,0
0386163495.wav,0
0227137136.wav,0
0419648664.wav,0
0675955090.wav,0
0756764041.wav,0
0652191429.wav,0
0226074564.wav,0
0994863598.wav,0
0570900894.wav,0
0495655788.wav,0
0337479120.wav,0
0731021291.wav,0
0521399849.wav,0
0851797489.wav,0
0620148576.wav,0
0900636208.wav,0
0112230971.wav,0
0749658792.wav,0
0778931595.wav,0
0502830777.wav,0
0709773438.wav,0
0229771702.wav,0
0204192287.wav,0
0734052167.wav,0
0761765544.wav,0
0206533905.wav,0
0102350780.wav,0
0943944562.wav,0
0908399287.wav,0
0227882646.wav,0
0863398498.wav,0
0748785837.wav,0
0509018423.wav,0
0539924256.wav,0
0116326575.wav,0
0792704091.wav,0
0148739306.wav,0
0994157667.wav,0
0487840393.wav,0
0692986830.wav,0
0479394931.wav,0
0129137937.wav,0
0602298595.wav,0
0268121609.wav,0
0552815169.wav,0
0524609966.wav,0
0375094989.wav,0
0922139948.wav,0
0697804597.wav,0
0931101288.wav,0
0961186966.wav,0
0632787927.wav,0
0522069082.wav,0
0195873885.wav,0
0842363194.wav,0
0559189799.wav,0
0659247667.wav,0
0849848954.wav,0
0923909054.wav,0
0668005270.wav,0
0322131578.wav,0
0818902786.wav,0
0679386490.wav,0
0528459901.wav,0
0863353292.wav,0
0173651284.wav,0
0626783087.wav,0
0198787033.wav,0
0436585673.wav,0
0273084108.wav,0
0681333382.wav,0
0560593502.wav,0
0709654230.wav,0
0468442059.wav,0
0264001594.wav,0
0604051286.wav,0
0577803828.wav,0
0147811305.wav,0
0359233677.wav,0
0597986230.wav,0
0446278124.wav,0
0699709756.wav,0
0165435567.wav,0
0482540641.wav,0
0456865486.wav,0
0919191825.wav,0
0759056296.wav,0
0777431296.wav,0
0481029594.wav,0
0295495281.wav,0
0914691989.wav,0
0723008602.wav,0
0892540626.wav,0
0220822349.wav,0
0678326344.wav,0
0582331491.wav,0
0488276091.wav,0
0257446526.wav,0
0579900486.wav,0
0415931682.wav,0
0192073394.wav,0
0768605463.wav,0
0895325225.wav,0
0419217155.wav,0
0776894027.wav,0
0627887507.wav,0
0156340955.wav,0
0245326562.wav,0
0802561931.wav,0
0621503486.wav,0
0936896727.wav,0
0509809428.wav,0
0233404377.wav,0
0779134886.wav,0
0573327380.wav,0
0405519944.wav,0
0692475055.wav,0
